Sam Hunt,Take Your Time,spotify:track:6DEaND0SHv3sC11xobZLiy,https://i.scdn.co/image/fab9896046e7ea7d3fd33d67e4662d14c3657549
Little Big Town,Girl Crush,spotify:track:11qh54D0PKkBwelpDxxiEU,https://i.scdn.co/image/5429eaa9672c362cc499b04501c53025d5602a9f
Eric Church,Like A Wrecking Ball,spotify:track:6hr4weuSidHy2LNMw8UVJ2,https://i.scdn.co/image/77125643484244c27930d83d6ca724e7b1084d2d
Miranda Lambert,Roots and Wings,spotify:track:7pEZg5eWtQxsVFpMj1Nh6D,https://i.scdn.co/image/9e41c4cb17c7e5e4339dfbbb289edeb76e72d313
Lee Brice,I Don't Dance,spotify:track:5aj0xPGiEUN3aI2oOYu14S,https://i.scdn.co/image/ba24f4591f5e3227af04ca58ed08aa3fd7e5cf43
Kenny Chesney,American Kids,spotify:track:1dgWTMoHwTUnQhOQ8SR5fV,https://i.scdn.co/image/fc64c9b5a8ed8f80aafcf11a372bed62e672376b
Eric Church,Talladega,spotify:track:1TKlBK9cSrM5u4CiL4SETS,https://i.scdn.co/image/77125643484244c27930d83d6ca724e7b1084d2d
Randy Houser,Like a Cowboy,spotify:track:6FS45yY6JKwMvAqN6vJD50,https://i.scdn.co/image/963c5b417a813293e459ed855e8c97936fb1b39b
Kacey Musgraves,Dime Store Cowgirl,spotify:track:43xanDcfSBWuURZCWbItzf,https://i.scdn.co/image/0f68dfc6add044c0c39ab5037369d3f324f5685d
Chris Stapleton,Traveller,spotify:track:178OI1A3qjROeFeh8lmNwW,https://i.scdn.co/image/d2f6ae8b5a1501cdce7b4a75e763fc786a0dc8c2
Carrie Underwood,Smoke Break,spotify:track:46W2wkCzFerbeQbNz3EIaa,https://i.scdn.co/image/bdf589913b67462ad4711e248fb745f6b0ab6dfb
Thomas Rhett,Crash And Burn,spotify:track:2Fk0WwAqTBesLtKg97nojy,https://i.scdn.co/image/04ff24682bc24c49708307586bc30b3431aa6988
Kelsea Ballerini,Love Me Like You Mean It,spotify:track:0knbW9EwgSLfNFMWys1mQm,https://i.scdn.co/image/6e8a9c2c5106d837c2edf63dc4855a9ba934f6b5
Maddie & Tae,Girl In A Country Song,spotify:track:1GRiBe0kNCNYpjwCHIyynI,https://i.scdn.co/image/94c44c935bb18ea9d5809af9aea280a6c87aaf0a
Florida Georgia Line,Sippin’ On Fire,spotify:track:0H9Q7Vzu8nYRDBZYKbtU8d,https://i.scdn.co/image/ec5c38a7df94328f14ee59ede54237075e650582
Dierks Bentley,Drunk On A Plane,spotify:track:1soxUgYIZb1qx1c7o1Lc7z,https://i.scdn.co/image/17f9462e085954842f9ab617aedaf424213c94fd
Dan + Shay,Nothin' Like You,spotify:track:4W38RXuQNuoTSwVsQA1OGC,https://i.scdn.co/image/1d067ebfd8f38b1cc9ee05a30478fcb25a94e88c
Lee Ann Womack,The Way I'm Livin',spotify:track:5c8VKuw5cysS1CBBnpbEMV,https://i.scdn.co/image/d9bb384be7b8402ff5e513b42777ee4b56b5a488
The Band Perry,Live Forever,spotify:track:7vzKdIfbDPMbmfzAoQgf3L,https://i.scdn.co/image/57bd57dea3673bae61685351bcd9d1b757b9b63c
Brothers Osborne,Stay A Little Longer,spotify:track:6rqxivjFHp8K0yMiefG56g,https://i.scdn.co/image/730d0f8e7aecaf6104d304468d02282abf48b558
Thompson Square,If I Didn't Have You,spotify:track:1r8TgCdMaT3pgbw5AbsjBx,https://i.scdn.co/image/3ef8e9616f084c8b453d5aa953675ae7af48bb97
Zac Brown Band,Loving You Easy,spotify:track:69XcvSymPaTke2Qb6f3W6P,https://i.scdn.co/image/f6e87e4c3f1aac0f34a4fc2ac68c9b6855fe5914
Lady Antebellum,Long Stretch Of Love,spotify:track:6QlmzxCyQGBnp3C2CoaNB3,https://i.scdn.co/image/8adb20b1acfb0451abb5d17045d2e053df92abc9
Rascal Flatts,I Like The Sound Of That,spotify:track:5S5rw0WLVCAux5B5bWCehK,https://i.scdn.co/image/24723c66fe6a40345f985c82789588879987c382
Luke Bryan,Kick The Dust Up,spotify:track:7wVeIwUxcUddK44joZ3bPO,https://i.scdn.co/image/72d0fb955bd92e5fd2866a556d72a8e2f16fcec2
Blake Shelton,Sangria,spotify:track:0p1HtkrNYxv0iDfEKwXSTp,https://i.scdn.co/image/5c73bac055e852d55ecc10d3a4ee9515556bf459
Coldplay,Viva La Vida,spotify:track:1mea3bSkSGXuIRvnydlB5b,https://i.scdn.co/image/009aa1548af52b1d834648c6452f3804f086fead
St. Lucia,Elevate,spotify:track:5BxVRqpZi6tIhAap1ZjzVD,https://i.scdn.co/image/e0f05de326b51a83de455b9f6f58c80e65550562
Macklemore & Ryan Lewis,"Downtown (feat. Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz)",spotify:track:1pWcwCBnN5dVSXvosxoGj3,https://i.scdn.co/image/5298b1a3dd0a697b2344c84e1404e347b319c5f7
Bill Withers,Lovely Day,spotify:track:0ACACkoHUwgfgY5CxVIL4N,https://i.scdn.co/image/6ae74b4ccee11a97bfc556cb0152fb811c3a53fc
Avicii,Wake Me Up,spotify:track:4h8VwCb1MTGoLKueQ1WgbD,https://i.scdn.co/image/402669c5b7606d4d4883e6c9431c7637075af64e
Pentatonix,Can't Sleep Love,spotify:track:1klGbW5a9qTBFUjFfddbmU,https://i.scdn.co/image/649f2dca1fdabb921835353491d7da49ac7c7130
Demi Lovato,Confident,spotify:track:3DXXKDbbZKyAZfNb96ST3q,https://i.scdn.co/image/1ca4e28b74844044054adbcffba76429fed14744
Arcade Fire,Wake Up,spotify:track:2uljPrNySotVP1d42B30X2,https://i.scdn.co/image/f1083affb8e452265607011a39c681ca4282e1fd
Hailee Steinfeld,Love Myself,spotify:track:0xCmwofyCiXdhoBsMSNj2w,https://i.scdn.co/image/1e8ff383bf2a4126b84a818e81c636353c70a434
Sam Smith,Money On My Mind,spotify:track:2FFOQpNyN4us5DaVaf6Qcc,https://i.scdn.co/image/eb4670fd970449ec78e022f53ad8d7ba3c6d32fd
